student_id,age,gender,degree,year,attendance_percentage,study_hours_per_day,assignment_score,internal_marks,backlogs,coding_skill,communication_skill,aptitude_score,technical_interview_score,projects_completed,internships_completed,certifications,hackathons_participated,extracurricular_activities,resume_score,mock_interviews,linkedin_profile,cgpa,final_score,performance_category,placement_status
STU100001,24,Male,BTech CSE,4,79.3,2.0,57.6,65.9,1,7.1,8.6,71.2,53.2,2,1,5,0,2,100.0,1,No,6.9,71.3,Good,Not Placed
STU100002,21,Male,BTech CSE,3,72.6,3.2,59.4,69.3,1,5.9,5.5,60.7,44.7,5,0,1,0,2,78.4,1,Yes,6.68,68.8,Good,Not Placed
STU100003,22,Female,BCA,4,87.0,4.9,82.9,73.5,0,5.3,6.2,74.8,39.0,4,1,3,0,3,73.2,3,Yes,8.37,81.9,Excellent,Not Placed
STU100004,24,Other,BTech CSE,2,81.0,5.0,84.7,69.9,2,10.0,7.4,75.5,27.0,3,0,6,0,1,95.6,3,No,9.42,91.1,Excellent,Placed
STU100005,20,Male,BCA,3,65.1,5.3,79.9,77.4,0,2.9,5.4,74.1,62.9,4,0,0,2,0,60.5,0,Yes,6.88,70.1,Good,Not Placed
STU100006,22,Female,BBA,3,84.1,3.3,68.3,79.9,0,7.8,6.6,68.7,81.0,1,0,3,0,2,72.7,3,Yes,9.02,87.0,Excellent,Placed
STU100007,22,Male,BCA,3,91.7,3.0,77.6,90.3,0,10.0,7.2,72.3,57.0,4,1,2,1,1,100.0,1,Yes,9.73,96.6,Excellent,Placed
STU100008,24,Female,BSc Computer Science,4,76.6,4.6,97.9,74.6,0,4.4,8.1,67.6,44.4,2,0,1,0,0,58.4,0,No,8.83,87.8,Excellent,Not Placed
STU100009,19,Female,BCA,3,77.3,5.3,78.0,77.0,0,5.7,6.8,63.6,52.0,1,0,0,1,1,80.7,2,Yes,7.64,80.8,Excellent,Not Placed
STU100010,20,Female,BTech CSE,2,79.1,3.6,76.5,65.7,0,5.9,7.6,76.9,60.1,3,0,0,0,2,86.3,2,Yes,6.07,64.6,Average,Not Placed
STU100011,24,Female,BSc Computer Science,3,65.8,5.8,95.6,90.5,3,9.4,6.5,81.0,53.1,0,0,0,1,1,70.4,1,Yes,9.2,92.4,Excellent,Not Placed
STU100012,20,Male,BCA,3,79.4,4.6,79.6,66.4,1,6.4,7.0,56.7,80.0,1,0,2,0,0,82.2,2,No,8.2,80.6,Excellent,Not Placed
STU100013,20,Female,BSc Computer Science,3,69.1,2.6,89.5,79.2,0,10.0,7.4,100.0,85.6,1,0,1,0,0,93.3,1,Yes,9.52,92.7,Excellent,Placed
STU100014,22,Female,BSc Data Science,3,77.9,2.8,87.1,66.1,1,,2.8,52.8,60.7,2,1,2,1,2,57.5,1,Yes,7.09,71.2,Good,Not Placed
STU100015,21,Male,BTech CSE,2,79.7,3.4,,70.3,0,5.9,5.7,67.1,39.0,2,0,3,0,1,73.3,2,Yes,8.14,82.3,Excellent,Not Placed
